"Madadayo","tt0107474","1","7","7.5","0","1993","0","
Japanese","
Japan","DVD","JP","Japanese"
"Magnolia","tt0175880","1","8","8","0","1999","0","
English","
USA","DVD","US","American"
"Matrix Revisted","tt0295432","1","6.5","7.3","0","2001","0","
English","
USA","DVD","US","American"
"Metropolis","tt0017136","1","0","8.4","0","1927","147","
German","
Germany","DVD","US","American"
"Millennium Actress","tt0291350","1","8","7.9","0","2001","0","
Japanese","
Japan","DVD","JP","Japanese"
"Minority Report","tt0181689","1","8.5","7.7","0","2002","0","
English","
USA","DVD","US","American"
"Momento","tt0209144","1","10","8.6","0","2000","107","
English","
USA","DVD","US","American"
"Mononoke Hime","tt0119698","1","9","8.3","0","1997","0","
Japanese","
Japan","DVD","JP","Japanese"
"Monsoon Wedding","tt0265343","1","7","7.2","0","2001","0","
English","
India","DVD","IN","Indian"
"Moulin Rouge","tt0203009","1","9","7.7","0","2001","0","
English","
Australia","DVD","US","American"
"Nausicaa of the Valley of Wind","tt0087544","1","9","8.1","0","1984","116","
Japanese","
Japan","DVD","JP","Japanese"
"No Regrets for Our Youth","tt0039090","1","0","7.6","0","1946","0","
Japanese","
Japan","DVD","JP","Japanese"
"Ocean's 11","tt0240772","1","9.5","7.6","0","2001","0","
Cantonese","
USA","DVD","US","American"
"Office Space","tt0151804","1","8.5","7.9","0","1999","0","
English","
USA","DVD","US","American"
"On Your Mark","tt0114038","1","8","7.8","0","1995","0","
Japanese","
Japan","DVD","JP","Japanese"
"Once Upon a Time in China","tt0103285","1","8.5","7.4","0","1991","95","
Cantonese","
Hong Kong","DVD","HK","Hong Kong"
"Once Upon a Time in China II","tt0105839","1","7.5","7.4","0","1992","0","
Cantonese","
Hong Kong","DVD","HK","Hong Kong"
"Once Upon a Time in China III","tt0108592","1","6.5","6.7","0","1993","0","
Cantonese","
Hong Kong","DVD","HK","Hong Kong"
"Only Yesterday","tt0102587","1","0","7.7","0","1991","0","
German","
Japan","DVD","JP","Japanese"
"Perfect Blue","tt0367257","1","0","6.8","0","2002","103","
Japanese","
Japan","DVD","JP","Japanese"
"Pirates of the Caribbean: The Curse of the Black Pearl","tt0325980","1","9","8","0","2003","0","
English","
USA","DVD","US","American"
"Pompoko Tanuki","tt0110008","1","7","7.5","0","1994","0","
English","
Japan","DVD","JP","Japanese"
"Porco Rosso","tt0104652","1","7","7.8","0","1992","0","
English","
Japan","DVD","JP","Japanese"
"Poro Poro","tt0102587","1","0","7.7","0","1991","0","
German","
Japan","DVD","JP","Japanese"
"Princess Mononoke","tt0119698","1","9","8.3","0","1997","0","
Japanese","
Japan","DVD","JP","Japanese"
"Pulp Fiction","tt0110912","1","9","8.9","0","1994","168","
English","
USA","DVD","US","American"
"Ran","tt0089881","1","9.5","8.3","0","1985","0","
Japanese","
Japan","DVD","JP","Japanese"
"Rashomon","tt0042876","1","9","8.5","0","1950","0","
Japanese","
Japan","DVD","JP","Japanese"
"Record of Living Being","tt0048198","1","0","7.4","0","1955","0","
Japanese","
Japan","DVD","JP","Japanese"
"Red Beard","tt0058888","1","8","8.1","0","1965","0","
Japanese","
Japan","DVD","JP","Japanese"
"Red Dragon","tt0289765","1","7.5","7.3","0","2002","0","
English","
USA","DVD","US","American"
"Reservoir Dogs","tt0105236","1","8.5","8.4","0","1992","0","
English","
USA","DVD","US","American"
"Sanjuro","tt0056443","1","9","8","0","1962","0","
Japanese","
Japan","DVD","JP","Japanese"
"Sanshiro Sugata","tt0036400","1","0","6.8","0","1943","97","
Japanese","
Japan","DVD","JP","Japanese"
"Se7en","tt0114369","1","8.5","8.6","0","1995","0","
English","
USA","DVD","US","American"
"Seven Samurai","tt0047478","1","10","8.8","0","1954","207","
Japanese","
Japan","DVD","JP","Japanese"
"South Pacific","tt0052225","1","8","6.8","0","1958","0","
English","
USA","DVD","US","American"
"Spirited Away","tt0245429","1","8","8.5","0","2001","0","
Japanese","
Japan","DVD","JP","Japanese"
"Star Wars Episode 1: The Phantom Menace","tt0120915","1","7","6.4","0","1999","0","
English","
USA","DVD","US","American"
"Star Wars Episode 2: Attack of the Clones","tt0121765","1","8","6.8","0","2002","120","
English","
USA","DVD","US","American"
"Stargate","tt0111282","1","7.5","6.6","0","1994","128","
English","
France","DVD","US","American"
"Swordsman II","tt0103295","1","0","7.3","0","1992","0","
Cantonese","
Hong Kong","DVD","HK","Hong Kong"
"Teen Zombies","tt0051064","1","0","2.2","0","1959","0","
English","
USA","DVD","US","American"
"The Bad Sleep Well","tt0054460","1","0","8.1","0","1960","135","
Japanese","
Japan","DVD","JP","Japanese"
"The Bride With White Hair","tt0106342","1","0","6.9","0","1993","89","
Cantonese","
Hong Kong","DVD","HK","Hong Kong"
"The Chinese Connection","tt0068767","1","0","7","0","1972","102","
Mandarin","
Hong Kong","DVD","US","American"
"The Deer Hunter","tt0077416","1","0","8.2","0","1978","0","
English","
UK","DVD","US","American"
"The Duel","tt0243876","1","7.5","6","0","2000","106","
Cantonese","
Hong Kong","DVD","HK","Hong Kong"
"The Eternal Evil Of Asia","tt0113928","1","0","5.9","0","1995","0","
Cantonese","
Hong Kong","DVD","HK","Hong Kong"
"The Eye","tt0325655","1","7","6.9","0","2002","110","
Cantonese","
Hong Kong","DVD","HK","Hong Kong"
